Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GEC 9,Ang Buhay at mga Akda ni Rizal,"09:00-10:30
10:00-11:30",TTH,"OB-L1
NB-301",3,0,3,3,3.0,TBA
IT 114,Quantitative Methods (Modeling and Simulation),"11:30-13:30
08:00-09:00",TTH,"NB-202
NB-101",2,1,3,5,4.25,TBA
IT 114,Quantitative Methods (Modeling and Simulation),"11:30-14:00
11:00-13:30",MW,"NB-101
NB-201",2,1,3,5,4.25,TBA
IT 115,Networking 1,"13:30-14:30
11:30-13:30",TTH,"NB-203
NB-201",2,1,3,5,4.25,TBA
IT 115,Networking 1,"08:00-09:30
14:00-15:30",MW,"NB-102
NB-202",2,1,3,5,4.25,TBA
IT 116,Systems Analysis and Design,"08:00-09:00
09:00-10:00",TTH,"NB-101
NB-103",2,1,3,5,4.25,TBA
IT 116,Systems Analysis and Design,"10:00-11:30
15:30-17:00",MW,"NB-101
NB-203",2,1,3,5,4.25,TBA
IT 117,Systems Administration and Maintenance,"10:30-11:30
14:30-15:30",TTH,"NB-202
NB-102",2,1,3,5,4.25,TBA
IT 117,Systems Administration and Maintenance,"15:30-17:00
08:00-09:30",MW,"NB-202
NB-103",2,1,3,5,4.25,TBA
IT 118,Internet of Things,"14:00-15:30
09:30-11:00",MW,"OB-L3
AB-101",3,0,3,3,3.0,TBA
IT 119,Data Scalability and Analytics,"15:30-17:00
15:30-17:00",TTH,"EB-L1
NB-303",3,0,3,3,3.0,TBA
