Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-4B,IT 124,IT 124_LEC_IT-4B,Monday,09:30,10:30,LEC-002,TBA
IT-4B,IT 124,IT 124_LEC_IT-4B,Monday,08:00,09:00,LEC-005,TBA
IT-4B,IT 124,IT 124_LEC_IT-4B,Monday,15:30,16:30,LEC-003,TBA
IT-4B,IT 125,IT 125_LEC_IT-4B,Thursday,16:00,17:00,LEC-002,TBA
IT-4B,IT 125,IT 125_LEC_IT-4B,Monday,11:00,12:00,LEC-008,TBA
IT-4B,IT 125,IT 125_LAB_IT-4B,Friday,09:00,12:00,LAB-006,TBA
IT-4B,IT 126,IT 126_LEC_IT-4B,Friday,14:00,15:00,LEC-003,TBA
IT-4B,IT 126,IT 126_LEC_IT-4B,Wednesday,16:00,17:00,LEC-002,TBA
IT-4B,IT 126,IT 126_LEC_IT-4B,Friday,15:00,16:00,LEC-004,TBA
IT-4B,IT 127,IT 127_LEC_IT-4B,Wednesday,11:00,12:00,LAB-004,TBA
IT-4B,IT 127,IT 127_LEC_IT-4B,Friday,16:00,17:00,LEC-003,TBA
IT-4B,IT 127,IT 127_LEC_IT-4B,Tuesday,14:00,15:00,LEC-004,TBA
IT-4B,ITELECT 003,ITELECT 003_LEC_IT-4B,Monday,13:00,14:00,LAB-001,TBA
IT-4B,ITELECT 003,ITELECT 003_LEC_IT-4B,Wednesday,15:00,16:00,LEC-011,TBA
IT-4B,ITELECT 003,ITELECT 003_LAB_IT-4B,Thursday,13:00,16:00,LAB-003,TBA
IT-4B,ITELECT 004,ITELECT 004_LEC_IT-4B,Wednesday,08:30,09:30,LAB-001,TBA
IT-4B,ITELECT 004,ITELECT 004_LEC_IT-4B,Thursday,11:00,12:00,LAB-002,TBA
IT-4B,ITELECT 004,ITELECT 004_LEC_IT-4B,Thursday,08:30,09:30,LEC-002,TBA
